./init-sources/guava_guava_04.JPG has [0.005, 0, 1160.659, 314.417, 0, 0, 51.109, 5.375, 35.513, 4.249, 0.997, 0.698, 4.133, 39.453, 18.303, 53.19, 0, 0, 0, 0, 0, 0, 22.109, 4.484, 30.565, 2.647, 0.125, 0.047, 1.83, 464.818, 31.025, 66.718, 0]
./init-sources/watermelon_watermelon_01.jpg has [0.028, 0.0, 0.0, 0.0, 0.0, 0.281, 1.188, 0.656, 0.099, 0.01, 0.384, 0.534, 0.017, 0.0, 0.024, 0.013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.231, 1.101, 0.791, 0.098, 0.001, 0.217, 0.278, 0.002, 0.0, 0.003, 0.0, 0.0]
./init-sources/guava_guava_10.JPG has [0.002, 0, 0, 0, 0, 11906.0, 456.962, 1012.362, 0, 849.5, 243.246, 452.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15875.0, 15875.0, 0, 0, 0, 0, 0, 0]
./init-sources/guava_guava_05.JPG has [0.005, 0, 0, 0, 0, 62.0, 7.045, 6.028, 16.958, 3.787, 1.82, 1.937, 3.112, 0, 96.703, 91.417, 0, 0, 0, 0, 0, 132.412, 21.551, 22.66, 12.664, 4.592, 0.828, 0.582, 0.868, 0, 5123.0, 0, 0]
./init-sources/others_leaf_15.png has [0.074, 34.757, 14.178, 33.463, 11.659, 7.717, 7.624, 1.863, 4.622, 30.731, 1.13, 0.767, 10.737, 12.406, 15.794, 13.3, 32.751, 35.0, 14.207, 40.452, 10.879, 6.91, 10.648, 1.73, 4.038, 35.082, 1.007, 0.661, 10.541, 14.434, 15.147, 13.09, 32.904]
./init-sources/alstonia_alstonia_06.JPG has [0.003, 0, 0, 0, 0, 0, 1322.0, 3968.0, 0, 34.202, 46.063, 371.094, 46115.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1586.6, 0, 0, 23.462, 32.494, 660.5, 0, 0, 0, 0, 0]
./init-sources/others_leaf_03.webp has [0.023, 0.0, 0.031, 0.159, 0.008, 0.35, 11.563, 62.589, 0.762, 1.647, 8.663, 1.662, 0.06, 0.001, 0.025, 0.024, 0.001, 0.0, 0.032, 0.158, 0.008, 0.348, 11.742, 70.514, 0.739, 1.645, 8.35, 1.652, 0.059, 0.001, 0.025, 0.024, 0.001]
./init-sources/pomegranate_pomegranate_07.JPG has [0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
./init-sources/others_leaf_18.png has [0.013, 0, 731.738, 11.003, 26.966, 312.342, 3.563, 1.625, 150.697, 18.488, 2.612, 7.68, 0, 128.176, 9.72, 1646.0, 0, 0, 287.655, 11.63, 19.2, 134.692, 3.401, 0.852, 81.203, 13.433, 1.756, 5.975, 0, 122.968, 5.186, 1536.2, 0]
./init-sources/others_leaf_06.jpeg has [0.231, 0.0, 0.221, 0.586, 0.544, 0.392, 1.868, 1.792, 1.206, 1.749, 1.553, 1.173, 0.203, 0.596, 0.482, 0.16, 0.0, 0.0, 0.125, 0.142, 0.125, 0.201, 0.82, 0.485, 0.204, 0.513, 0.347, 0.091, 0.011, 0.094, 0.08, 0.011, 0.0]
